cinemaName,boxInfo,viewInfo,avgShowView,avgViewBox
广州金逸国际影城(海珠城IMAX店),8479,206,5,41.1
沈阳万达国际影城(太原街店),8476,272,7,31.1
沈阳美嘉欢乐影城(万象城店),8470,216,5,39.2
延边CGV影城(百利城店),8452,244,6,34.6
北京中影国际影城(丰台永旺店),8443,235,5,35.9
成都SOE太平洋影城(龙泉东方华大广场店),8438,259,7,32.5
重庆CGV影城(源著IMAX店),8436,231,5,36.5
南京卢米埃影城(金鹰新街口店),8431,282,6,29.8
上海万达影城(周浦万达广场店),8406,182,4,46.1
重庆UME影城(沙坪坝店),8363,268,4,31.2
南京万达影城(江宁万达广场店),8335,256,4,32.5
厦门万达影城(湖里万达广场店),8326,218,3,38.1
扬州扬州喜满客国际影城(京华城店),8325,250,5,33.2
成都UA国际金融中心影城,8298,214,5,38.7
哈尔滨万达国际影城(中央店),8294,301,6,27.5
南宁CGV影城(绿地店),8266,223,5,37.0
上海百丽宫影城(万象城店),8239,156,3,52.8
北京美嘉欢乐影城(三里屯店),8230,143,4,57.5
郑州CGV影城(高新IMAX店),8214,238,6,34.5
余姚CGV影城(城东IMAX店),8206,232,5,35.3
南昌博纳国际影城(铜锣湾店),8199,232,6,35.3
武汉金逸影城(王家湾店),8199,251,5,32.6
太原博纳国际影城(茂业天地店),8180,202,4,40.4
广州中影国际影城(太阳新天地店),8151,222,6,36.7
天津中影国际影城(津南永旺店),8137,249,6,32.6
宁波CGV影城(北仑店),8132,223,4,36.4
北京新华国际影城(大钟寺店),8118,227,5,35.7
长春耀莱成龙国际影城(湖西路店),8114,344,8,23.5
赣州世纪光影国际影城,8100,368,18,22.0
哈尔滨艾美影城(太平桥店),8094,269,7,30.0
萍乡CGV影城(润达店),8060,270,7,29.8
西安万达影城(大明宫店),8012,218,4,36.7
合肥博纳国际影城(合肥银泰中心店),8001,240,6,33.3
深圳中影国际影城(龙华九方店),7978,223,6,35.7
上海DFC影城(宝山店),7974,243,4,32.8
珠海幸福蓝海国际影城(珠海IMAX店),7973,237,5,33.6
日照CGV影城(日照万象汇店),7946,248,8,32.0
北京红星太平洋电影城(爱琴海购物中心店),7935,196,4,40.4
铜仁天一国际影城,7931,257,11,30.8
北京保利国际影城(绿地缤纷城店),7890,207,5,38.1
上海SFC上影影城(川沙IMAX店),7890,195,5,40.4
上海上影CGV(莘庄店),7882,170,4,46.3
保定华隶影城(华创广场店),7876,281,7,28.0
成都CGV影城(科华店),7874,225,5,34.9
福州万达影城(仓山万达广场店),7874,176,4,44.7
武汉万达影城(江汉路悦荟广场店),7866,317,6,24.8
仙桃银兴国际影城(仙桃店),7850,337,10,23.2
上海万达影城(江桥万达广场店),7827,168,3,46.5
长沙湖南大剧院,7825,261,19,29.9
广州中影德金影城(客村丽影店),7813,207,3,37.7
无锡金逸影城IMAX(光美无锡荟聚店),7795,221,4,35.2
银川万达国际影城(金凤万达广场),7792,211,4,36.9
南京中影国际影城(仙林金鹰店店),7791,244,5,31.9
天津万达影城(南开RealD店),7789,368,12,21.1
湛江中影星美影城IMAX(鼎盛广场店),7776,209,4,37.2
常德中影鸿鑫国际影城(石门巨幕店),7761,225,11,34.4
昆明SFC上影影城(昆明永华店),7751,239,5,32.4
保定北国金棕榈先天下国际影城(保定店),7741,257,5,30.1
深圳CINESKY新天影院IMAX,7731,207,4,37.3
洛阳洛阳耀莱成龙国际影城(中州中路店),7723,234,4,33.0
长沙中影国际影城(雨花凯德广场店),7690,227,6,33.8
许昌襄城一峰奥斯卡激光影城,7672,261,9,29.3
长春完美世界影城(17.5新天地店),7667,289,7,26.5
西安奥斯卡阳光国际影城(阳光城店),7636,214,4,35.6
沈阳万达国际影城(奥体店),7635,201,4,37.9
成都万达影城(SM广场店),7619,242,5,31.4
黄石武商国际电影城,7615,266,5,28.6
北京金逸影城(双桥店),7612,204,4,37.3
武汉璇宫国际影城(江汉路店),7608,275,5,27.6
吉林万达国际影城(财富广场店),7592,270,6,28.1
北京嘉华国际影城(活力东方店),7575,208,4,36.4
成都英皇UA电影城(悠方店),7552,224,5,33.7
北京SFC上影影城(北京大兴龙湖IMAX店),7540,198,4,38.0
杭州萧山德纳IMAX影城,7530,178,3,42.3
汉中中影星美国际影城(汉中店),7529,292,8,25.7
武汉横店电影城(新佳丽店),7528,289,5,26.0
长春耀莱成龙国际影城(宽城店),7527,243,5,30.9
广州星汇电影城,7527,280,5,26.8
太原全美影院(太原N1店),7518,204,5,36.8
自贡恒大影城,7510,332,11,22.6
哈尔滨艾美国际巨幕影城(哈西店),7508,224,5,33.5
上海万裕国际影城(淮海店),7495,197,10,38.0
乐清乐清奥斯卡影城,7494,290,8,25.8
汕头合胜影城,7483,235,7,31.8
岳阳CGV影城(岳阳步步高IMAX店),7480,236,5,31.6
北京保利国际影城(东坝店),7473,193,5,38.7
上海卢米埃影城(紫荆广场店),7471,212,6,35.2
南沙万达影城(南沙万达广场店),7456,191,4,39.0
杭州新远国际影城(西湖文化广场店),7455,196,4,38.0
沈阳龙之星国际影城(沈阳北站店),7450,232,4,32.1
重庆UME影城(两江西奥),7447,229,4,32.5
武汉银兴东融国际影城,7432,344,6,21.6
北京博纳国际影城(方庄店),7428,213,4,34.8
南京海上明珠IMAX影城雨花客厅店,7396,248,5,29.8
深圳纵横国际影城(石厦店),7391,191,4,38.6
哈尔滨金安国际影城,7387,257,10,28.7
贵阳万达影城(贵阳中大广场店),7383,185,5,39.9
南京喜满客影城(缤润汇店),7378,276,6,26.7
北京保利国际影城(华贸天地店),7369,204,10,36.1
惠州惠州橙天嘉禾影城(华贸店),7366,217,4,33.9
深圳中影万国国际影城(益田村店),7357,209,5,35.2
北京耀莱成龙国际影城(马连道店),7355,186,5,39.5
太原万达影城(龙湖店),7353,184,4,39.9
桐庐晨光国际影城,7351,212,6,34.6
天津美亚影城(水游城店),7336,261,7,28.1
深圳博纳国际影城(华强店),7328,193,4,37.9
上海海上明珠国际影城(莘庄店),7324,188,4,38.9
武汉华谊兄弟影院(光谷IMAX店),7314,276,5,26.5
海口万达影城(海航日月广场店),7309,211,4,34.6
丹东万达国际影城(锦山大街店),7304,220,4,33.2
哈尔滨万达影城(万达文化旅游城店),7288,191,4,38.1
天津CGV星星影城(东马路店),7288,230,6,31.6
昆明百老汇影城(顺城店),7270,200,5,36.3
长沙万达影城(梅溪湖步步高广场店),7267,187,4,38.8
西安横店电影城(西安中贸店),7266,247,5,29.4
乌鲁木齐i尚花田电影小镇,7255,211,4,34.3
上海SFC上影影城(新世界店),7197,180,5,39.9
烟台CGV影城(海港路店),7195,242,5,29.7
武汉中影国际影城(武汉经开永旺店),7181,237,6,30.2
武汉卢米埃影城(凯德1818广场店),7178,227,5,31.6
句容乐田句容巨幕影城(碧桂园凤凰城店),7163,347,17,20.6
广州北京路期遇·艺电影城(天河城店),7132,259,4,27.5
北京中影星美国际影城(耳东)世贸天阶店,7130,165,3,43.2
唐山CGV影城(路南店),7126,237,5,30.0
北京万达国际影城(CBD店),7109,119,3,59.7
哈尔滨中影中数国际影城(麦凯乐店),7099,287,4,24.7
福州红星太平洋电影城,7095,167,4,42.4
沈阳今世界影城(大都汇店),7094,219,4,32.3
上海万达影城(松江万达广场店),7094,183,3,38.7
沈阳卢米埃影城(万象汇店),7088,203,5,34.9
衡水鑫垚影院,7084,300,7,23.6
天津沃美影城(鲁能城店),7080,204,5,34.7
潍坊齐纳国际影城(泰华新天地店),7069,190,4,37.2
南京横店影城(水游城店),7068,226,6,31.2
深圳太平洋影城(喜荟城店),7068,189,7,37.3
合肥英皇电影城(万象城店),7066,161,3,43.8
长春长影电影院,7057,239,8,29.5
北京百老汇影城(东方广场店),7042,203,6,34.6
成都星轶D-BOX影城(龙泉驿吾悦广场旗舰店),7012,243,5,28.8
深圳盛唐时代国际影城(卓越intown),7011,221,4,31.7
惠州万达国际影城(新天地广场店),7008,218,7,32.1
太仓万达影城(太仓IMAX店),7003,166,3,42.1
天津SFC上影影城(天津北宁湾店),6989,222,5,31.4
北京百丽宫影城(国贸店),6978,174,7,40.1
商丘商丘睢阳万达影城,6976,230,4,30.3
重庆CGV影城(U城IMAX店),6965,200,4,34.8
南京万达影城(新街口店),6957,215,5,32.3
东莞万达影城(虎门万达广场店),6955,164,3,42.4
北京博纳国际影城(顺义店),6954,155,3,44.8
上海苏宁影城(奉贤店),6950,184,3,37.7
彭州太平洋影城(彭州店),6947,215,8,32.3
天津农垦博纳国际影城(津奥广场店),6899,240,4,28.7
上海UME国际影城(新天地店),6892,118,4,58.4
大连万达影城(甘井子万达广场店),6888,195,4,35.3
奉化博纳国际影城(奉化店),6881,229,4,30.0
东莞万达影城(厚街万达广场店),6877,193,4,35.6
北京恒业影城北京IMAX店,6869,198,4,34.6
西安奥斯卡赛高国际影城(赛高街区店),6866,243,5,28.2
北海大地影院(北海宁春城IMAX店),6825,177,3,38.5
宿迁CGV影城(西湖店),6814,245,6,27.8
北京珠影耳东传奇影城,6812,130,3,52.4
兰州太平洋影城(张掖路店),6811,187,4,36.4
成都保利国际影城(成都奥克斯店),6790,196,4,34.6
上海寰映影城(大融城店),6786,135,3,50.2
贵阳星美国际影商城(鸿通城店),6779,192,4,35.3
许昌奥斯卡影城(许昌胖东来店),6775,318,14,21.3
郑州耀莱成龙国际影城(锦艺店),6766,222,5,30.4
上海UA电影城(上海梅龙镇广场店),6763,133,3,50.8
贵阳万达影城(观山湖万达广场店),6761,192,4,35.2
上海百丽宫影城(上海LCM置汇旭辉广场店),6758,171,4,39.5
上海SFC上影影城(徐汇绿地滨江IMAX店),6753,164,5,41.1
哈尔滨万达国际影城(乐松店),6752,182,5,37.0
佛山CGV影城(东方广场店),6748,217,5,31.0
西安中影国际影城(大唐西市店),6748,200,5,33.7
上海左岸国际电影城(松江沃尔玛店),6746,242,6,27.8
长春万达国际影城(赛德广场店),6740,179,4,37.6
上海华夏久金国际影城,6738,182,5,37.0
北京耀莱成龙国际影城(王府井店),6734,184,4,36.5
昆明CGV影城(海伦IMAX店),6731,191,4,35.2
沈阳积家国际影城,6726,212,8,31.7
郑州华士达影城(郑东店),6720,233,6,28.8
郑州万达国际影城(中原万达店),6694,204,3,32.8
昆明万达影城(正义坊店),6690,193,4,34.6
长沙万达影城(悦荟广场店),6680,191,4,34.9
上海佰迦乐大光明影城(文峰广场店),6678,200,5,33.3
宁波宁波影都(东门口店),6677,254,6,26.2
西安映画魔方国际影城,6671,251,6,26.5
仁怀烽禾影城(仁怀店),6651,169,5,39.3
自贡星维国际电影城(南湖店),6641,290,6,22.8
北京华谊兄弟影院(IMAX洋桥店),6621,206,4,32.1
长春万达国际影城(重庆路店),6609,176,5,37.5
南京海上明珠影城虹悦城店,6602,220,4,30.0
沈阳今世界影城(兴隆大奥莱店),6597,199,5,33.1
天津万达影城(河东IMAX店),6594,194,3,33.9
重庆百丽宫影城(万象城店),6593,175,3,37.6
珠海诚丰影城(诚丰广场店),6591,228,5,28.9
珠海中影国际影城(野狸岛海韵店),6580,219,4,30.0
长春万达国际影城(宽城店),6574,173,3,38.0
成都卢米埃影城(来福士店),6560,187,6,35.0
贵阳喜满客影城(时光贵州店),6559,182,6,36.0
齐齐哈尔新东北影城(齐齐哈尔新玛特店),6555,272,9,24.0
烟台幸福蓝海国际影城(烟台大悦城IMAX店),6553,195,4,33.6
武汉武汉莱纳万隆影城,6544,223,4,29.3
