cinemaName,boxInfo,viewInfo,avgShowView,avgViewBox
石家庄UME国际影城,8749,299,5,29.2
合肥万达影城(之心城光魔店),8737,242,5,36.1
北京保利国际影城(天安门店),8730,243,5,35.9
深圳中影国际影城(南山欢乐海岸店),8721,176,4,49.5
太原万象影城(太原万象城激光IMAX店),8680,209,5,41.5
武汉中影国际影城(武汉经开永旺店),8675,274,6,31.6
北京博纳国际影城(方庄店),8667,232,4,37.3
南昌博纳国际影城(铜锣湾店),8622,240,6,35.9
长沙万达影城(悦荟广场店),8618,234,6,36.8
重庆万达影城(大融城店),8613,271,4,31.7
廊坊万达影城(万达广场IMAX店),8600,224,4,38.3
成都万达影城(SM广场店),8591,254,5,33.8
海口中影国际影城(海口上邦店),8582,315,5,27.2
呼和浩特万达国际影城(万达广场店),8570,200,4,42.8
沈阳龙之梦海之心影城,8560,323,8,26.5
深圳UA影院(KKMALL店),8538,183,5,46.6
哈尔滨金安国际影城,8528,308,11,27.6
上海SFC上影百联影城(八佰伴IMAX店),8528,162,3,52.6
西安奥斯卡阳光国际影城(阳光城店),8524,241,5,35.3
郑州CGV影城(高新IMAX店),8519,249,6,34.2
鄱阳奥斯卡影城(鄱阳店),8501,320,10,26.5
哈尔滨艾美国际巨幕影城(哈西店),8496,250,5,33.9
北京博纳国际影城(万寿路店),8493,208,5,40.8
武汉CGV影城(凯德西城IMAX店),8488,261,6,32.5
盐城CGV影城(中南城IMAX店),8475,281,6,30.1
北京华谊兄弟影院(IMAX洋桥店),8465,210,4,40.3
上海百丽宫影城(万象城店),8455,147,3,57.5
重庆CGV影城(U城IMAX店),8454,263,6,32.1
南宁CGV影城(绿地店),8453,221,5,38.2
北京橙天嘉禾影城(万柳店),8423,202,6,41.6
北京中影国际影城(丰台永旺店),8417,262,6,32.1
秦皇岛大地影院(世纪港湾店),8411,263,5,31.9
天津万达影城(河东IMAX店),8410,223,5,37.7
深圳万象影城(深圳布吉万象汇IMAX店),8399,215,5,39.0
北京大地影院(顺义隆华店),8387,181,4,46.3
济南万达影城(高新店),8365,187,3,44.7
三河中影国际影城(燕郊永旺店),8326,294,7,28.3
深圳保利国际影城(保利文化广场店),8318,207,4,40.1
福州中瑞国际影城(三坊七巷店),8307,224,3,37.0
江门CGV影城(蓬江IMAX店),8307,228,5,36.4
海口星轶IMAX影城(龙华吾悦广场旗舰店),8299,310,6,26.7
乐清乐清奥斯卡影城,8288,308,7,26.9
许昌万达影城(许昌万达广场店),8276,254,9,32.5
乌鲁木齐人民电影院,8271,269,5,30.7
上海上影CGV(莘庄店),8263,163,4,50.6
上海百丽宫影城(上海LCM置汇旭辉广场店),8261,169,4,48.8
铜仁天一国际影城,8256,244,10,33.8
长春万达国际影城(红旗街店),8254,201,5,41.0
许昌襄城一峰奥斯卡激光影城,8247,255,9,32.3
成都百老汇影城(万象城店),8236,223,6,36.9
宁波CGV影城(文化广场IMAX店),8233,211,4,39.0
上海UA电影城(上海梅龙镇广场店),8233,148,3,55.6
杭州萧山德纳IMAX影城,8193,200,3,40.9
福州金逸影城IMAX(万宝商圈店),8174,201,3,40.6
沈阳万达国际影城(太原街店),8165,242,6,33.7
沈阳今世界影城(兴隆大奥莱店),8161,231,5,35.3
西安横店电影城(西安中贸店),8156,273,5,29.8
兰州万达国际影城(城关广场店),8146,204,4,39.9
余姚CGV影城(城东IMAX店),8141,215,5,37.8
南京幸福蓝海国际影城(江宁金鹰店),8139,259,5,31.4
无锡大世界影城(中山路IMAX店),8139,251,5,32.4
常州CGV影城(龙城天街IMAX店),8122,247,6,32.8
太原博纳国际影城(茂业天地店),8121,191,4,42.5
天津沃美影城(鲁能城店),8113,239,5,33.9
萍乡CGV影城(润达店),8098,266,6,30.4
上海SFC上影影城(川沙IMAX店),8090,195,5,41.4
沈阳美嘉欢乐影城(万象城店),8083,198,4,40.8
广州中影国际影城(太阳新天地店),8070,223,6,36.1
武汉银兴国际影城(光谷时尚城店),8064,270,5,29.8
北京万达影城(丰台店),8063,196,3,41.1
武汉华谊兄弟影院(光谷IMAX店),8059,278,6,28.9
重庆UME影城(九龙坡店),8053,241,4,33.4
威海乐天影城(威高广场店),8040,234,7,34.3
杭州横店影城(下沙店),8038,280,9,28.7
广州展映龙骏影城,8037,274,9,29.3
贵阳喜满客影城(时光贵州店),8031,222,8,36.1
成都华联影城(双流店),8027,266,5,30.1
南京万达影城(建邺万达广场店),8026,192,3,41.8
上海大光明丽盛影城(新大陆广场店),8006,220,7,36.3
上海SFC上海影城,7991,137,3,58.3
西安大地影院(小寨店),7977,264,6,30.2
泰安万达国际影城(万达广场店),7965,228,4,34.9
延边万达影城(万达广场店),7954,210,5,37.8
南宁沃美影城(万象城店),7930,178,4,44.5
昆山CGV影城(昆城广场店),7929,255,5,31.0
长沙百丽宫影城(国金中心店),7919,183,5,43.2
广州CGV影城(永旺店),7905,223,5,35.4
杭州新远国际影城(西湖文化广场店),7872,215,4,36.6
北京活力天宝国际影城,7862,274,3,28.6
武汉CGV影城(江腾IMAX店),7859,251,6,31.3
深圳橙天嘉禾影院(卓悦汇店),7853,177,4,44.3
武汉横店电影城(新佳丽店),7843,319,4,24.5
北京SFC上影影城(北京大兴龙湖IMAX店),7838,198,5,39.5
宿迁CGV影城(西湖店),7831,272,6,28.7
潍坊齐纳国际影城(泰华新天地店),7825,208,4,37.6
西安格莱美艺术影城,7818,280,6,27.9
上海万达影城(松江万达广场店),7817,198,3,39.4
哈尔滨中影中数国际影城(麦凯乐店),7815,327,4,23.8
上海SFC上影百联影城(又一城店),7814,193,6,40.4
烟台幸福蓝海国际影城(烟台大悦城IMAX店),7810,230,5,33.9
黄石武商国际电影城,7793,259,5,30.0
武汉金逸影城(销品茂IMAX店),7788,247,4,31.5
长春完美世界影城(17.5新天地店),7759,281,6,27.6
日照CGV影城(日照万象汇店),7751,231,6,33.5
桐庐晨光国际影城,7750,222,6,34.9
岳阳CGV影城(岳阳步步高IMAX店),7738,227,5,34.0
大连百丽宫(LUXE巨幕)影城恒隆广场店,7730,210,4,36.8
南京喜满客影城(缤润汇店),7722,261,6,29.5
上海SFC上影影城(天山缤谷广场IMAX店),7716,170,3,45.3
上海天山电影院-龙之梦影城,7710,148,4,52.0
郑州万达国际影城(中原万达店),7702,233,4,33.0
昆明万达影城(西山万达广场店),7694,187,4,41.1
广州中影德金影城(客村丽影店),7680,202,3,38.0
盘锦CGV影城(兴隆台IMAX店),7658,244,6,31.3
石家庄万达影城(裕华万达广场IMAX店),7632,225,4,33.9
珠海幸福蓝海国际影城(珠海IMAX店),7625,222,5,34.3
西安万达影城(高新万达广场店),7621,198,3,38.4
昆明CGV影城(海伦IMAX店),7613,209,4,36.4
南宁中影国际影城(会展航洋城购物中心店),7606,212,5,35.8
北京保利国际影城(华贸天地店),7589,209,9,36.3
顺德艺达国际影城(北滘店),7569,223,5,33.9
眉山太平洋影城(眉山店),7552,279,8,27.0
宁波保利国际影城(天一店),7515,238,5,31.5
北京沃美影城(回龙观店),7508,191,4,39.3
佛山CGV影城(东方广场店),7507,226,5,33.2
青岛大商影城(香港中路麦凯乐店),7494,292,6,25.6
上海中影DFC影城(龙阳路店),7491,227,6,33.0
上海寰映影城(大融城店),7476,163,3,45.8
上海SFC上影影城(新世界店),7473,176,5,42.4
武汉城市广场摩尔国际电影城(后湖店),7440,244,5,30.4
北京保利国际影城(绿地缤纷城店),7438,197,5,37.7
成都太平洋影城(王府井店),7427,213,3,34.8
鞍山中影·国际影城(胜利南路店),7425,318,6,23.3
成都UME国际影城(建设北路店),7415,233,4,31.8
绵阳万达影城(涪城万达广场店),7411,212,4,34.9
成都卢米埃影城(来福士店),7406,211,7,35.0
北京紫光影城(蓝岛店),7404,227,6,32.6
上海天山电影院虹桥艺术中心旗舰店,7397,148,4,49.9
东营新时代影城(胶州路店),7392,261,8,28.3
顺德CGV星星影城(星耀101IMAX店),7391,242,6,30.5
广州中影佰纳国际影城(花都广百新一城店),7380,204,4,36.1
昆明百老汇影城(顺城店),7367,179,4,41.1
深圳纵横国际影城(石厦店),7357,196,5,37.5
深圳南国影城(金光华店),7350,197,5,37.3
北京横店电影城(王府井店),7348,224,6,32.8
上海UME国际影城(新天地店),7345,129,5,56.9
成都CGV影城(航空港店),7323,204,6,35.8
大连万达影城(甘井子万达广场店),7316,210,4,34.8
武汉万达影城(佰港城店),7310,230,4,31.7
杭州百老汇影城(万象城店),7305,123,3,59.3
天津中影国际影城(天津西青永旺店),7301,238,6,30.6
上海海上明珠国际影城(莘庄店),7292,185,4,39.4
杭州中影国际影城(杭州永旺店),7278,226,6,32.2
天津农垦博纳国际影城(津奥广场店),7262,237,5,30.6
仁怀烽禾影城(仁怀店),7228,185,6,39.0
北京嘉华国际影城(活力东方店),7214,185,4,38.9
广州青宫电影城,7201,242,4,29.7
无锡百丽宫影城(苏宁广场店),7198,214,5,33.6
呼和浩特横店电影城(海亮广场店),7195,238,4,30.2
厦门万达影城(SM广场店),7193,165,4,43.5
常州中影国际影城(新世纪店),7175,237,5,30.2
南京卢米埃影城(弘阳广场IMAX影城),7167,207,4,34.6
宜宾太平洋影城(宜宾图书馆店),7147,286,11,24.9
厦门万达影城(湖里万达广场店),7140,179,3,39.8
厦门万达影城(集美万达广场店),7102,191,3,37.1
郑州横店电影城(德化无限城店),7074,251,5,28.1
合肥万达国际影城(马鞍山路店),7071,141,3,50.1
荆州万达影城(荆州万达广场店),7064,203,5,34.7
本溪万佳影城,7050,329,11,21.4
宁波博纳国际影城(宏泰店),7038,227,5,31.0
太仓万达影城(太仓IMAX店),7035,155,3,45.3
株洲中传国际影城,7003,236,7,29.6
成都中视国际影城IMAX(铁建店),6998,225,7,31.1
温州卢米埃温州万象城IMAX影城,6996,162,5,43.1
北京中影电影院(小西天店),6985,179,8,39.0
上海奉贤宝龙横店IMAX影城,6980,175,4,39.8
南京卢米埃影城(金鹰新街口店),6959,205,5,33.9
永州大视界影城,6948,219,11,31.7
武汉CGV影城(昙华林店),6920,212,6,32.6
襄阳中影天河影城(樊城武商店),6917,276,7,25.0
长春万达国际影城(宽城店),6901,186,4,37.1
杭州浙江庆春电影大世界,6878,242,4,28.4
深圳正佳国际影城(光明店),6875,223,8,30.8
泰州万达影城(泰州万达广场店),6867,214,4,32.0
烟台CGV影城(海港路店),6846,232,4,29.5
深圳公明百誉(公明店),6845,249,10,27.4
上海华士达影城(徐汇店),6840,188,5,36.3
石河子五星国际影城,6810,253,15,26.9
上海佰迦乐大光明影城(文峰广场店),6804,208,6,32.7
北京百老汇影城(apm购物中心店),6801,166,4,40.9
深圳海岸影城,6795,181,6,37.5
长春万达国际影城(欧亚卖场店),6790,155,4,43.8
武汉CGV星星影城(天地店),6784,203,6,33.4
杭州SFC上影影城(杭州下沙IMAX店),6777,184,4,36.8
海口中视国际影城IMAX(国秀城店),6776,236,6,28.7
南京海上明珠影城虹悦城店,6765,214,4,31.6
武汉万达影城(经开万达广场店),6752,215,4,31.4
天津CGV星星影城(东马路店),6751,226,6,29.8
武汉百丽宫影城(壹方店),6743,185,4,36.4
汕头合胜影城,6726,212,6,31.7
福州万达影城(仓山万达广场店),6714,133,3,50.4
上海红星电影世界上海吴中路旗舰店,6705,127,3,52.7
哈尔滨万达国际影城(乐松店),6703,183,5,36.6
保定北国金棕榈先天下国际影城(保定店),6676,229,4,29.1
广州飞扬影城(高德置地店),6650,151,3,44.0
徐州徐州苏宁影城,6649,182,4,36.5
西安沃美影城(西安群光广场店),6648,241,4,27.5
南昌CGV影城(凯德店),6640,228,6,29.1
银川万达国际影城(金凤万达广场),6636,160,3,41.4
贵阳万达影城(贵阳中大广场店),6632,170,4,39.0
万州万达影城(万州万达广场店),6615,203,4,32.5
十堰新华银兴国际影城(邮电街店),6607,260,6,25.4
天津CGV影城(于家堡IMAX店),6590,203,7,32.4
遵义横店影城(乌江路店),6580,251,7,26.2
北京百老汇影城(东方广场店),6579,177,5,37.1
北京耀莱成龙国际影城(王府井店),6578,186,4,35.3
深圳博纳国际影城(华强店),6561,175,3,37.4
深圳中影国际影城(深国投店),6545,202,5,32.4
佛山金马剧院,6542,319,15,20.5
北京新华国际影城(宝盛店),6526,169,6,38.6
哈尔滨艾美影城(太平桥店),6516,222,6,29.3
杭州奥斯卡电影大世界,6508,244,4,26.6
沈阳积家国际影城,6503,223,8,29.1
北京博纳国际影城(顺义店),6498,150,3,43.3
衡阳万达影城(衡阳万达广场店),6487,180,3,36.0
沈阳卢米埃影城(万象汇店),6479,162,4,39.9
无锡万达影城(滨湖IMAX店),6477,171,4,37.8
西安奥斯卡国际影城(长安城南新天地店),6469,227,5,28.4
