nickName,cityName,score,content,startTime
wZJ925027422,东莞,5.0,漫威的每一部电影都是经典，海王的镜头超级震撼！这部电影里有了中国无素，比如桂林的风景和孙悟空的耍棒。维一的缺点就是开头的背景画面有点模糊。,2018-12-08 10:16:19
dWp630986447,柳州,0.0,特效不错，很享受,2018-12-08 10:16:06
mtqq007,济南,5.0,反正我是觉得很不错，无论选角还是特效都很不错,2018-12-08 10:16:01
岁月无缺,西宁,5.0,好得很啊啊啊啊,2018-12-08 10:15:49
熊猫小白318,石家庄,5.0,相当不错👍👍👍👍👍,2018-12-08 10:15:23
天恩,广州,4.5,"万达是我来的最多的电影院，因为最主要是影院的质量有保证，特别是IMAX更是广州之冠。所以一般有大片我都是首选万达。
        我是路人，之前没听过海王，也不知道温子仁。现在补习了，知道原来我也看过他的速7。
        《海王》对路人非常友好，整部电影和DCEU没有多大关联，相当于是独立电影。因为没有任何观影门槛，不需要补任何电影或漫画，这是《海王》的高明之处。
        《海王》这一部电影彻底改变了海王在人们心目中的形象，精美绝伦的水下世界，宏伟瑰丽的海底奇观，堪称“海底《阿凡达》，水下潘多拉”。从此影史将记住《海王》的名字。",2018-12-08 10:15:12
木木,昆明,5.0,感觉像看了阿凡达+魔戒+环太平洋的结合体，剧情上放迪士尼叫狮子王，放漫威叫黑豹。特效简直吹爆，感觉DC从神奇女侠开始都在大跨步赶上漫威，非常期待后面的小闪。海王还是一如马王的即视感，一看见还是会想起龙妈，还有妮可真的太美了！,2018-12-08 10:15:04
爱你的小法斗,南昌,4.5,电影场面非常震撼，男主与女主按照线索寻找三叉戟时的剧情也十分惊险刺激，简直酷毙了。,2018-12-08 10:15:03
凉yoooo,武汉,4.5,"8.5分。作为一个漫威男孩，已经习惯搞笑+高科技的轻松电影，突然看到一个雄性荷尔蒙爆棚的正剧式史诗超英电影，只感觉全程高能，仿佛回到看《神奇女侠》的时候，整部电影透露出神话史诗般质感，无论是宏伟的亚特兰蒂斯，还是奇幻的地心藏海，每一处都感觉经费在熊熊燃烧，电影27元卖亏了好吧！
剧情方面让我想到《黑豹》的兄弟之争，典型的王子复仇记，但黑豹对比之下怎么都像是村口争霸…海王久母的剧情又让我想到《宝莲灯》…地心藏海像《蚁人2》的量子空间…以及亚特兰蒂斯完全就是《塞尔达传说》里面的水之国啊！
观影过程中，我身边有个男生一直在给女朋友解说（头大）但求求你不要乱说啊，那是刚骨不是钢铁侠（白眼🙄️）…",2018-12-08 10:14:59
何处寻觅,沈阳,5.0,好看到炸裂，场面宏伟壮观，温子仁导员太有才了,2018-12-08 10:14:54
A艺廊 Jimly,霸州,5.0,实在没想到DC也能拍出这么好的电影，蝙超和正义1都是让人大失所望的片，而海王实在没想到拍的这么好，给个赞,2018-12-08 10:14:51
RUq815040998,张家港,5.0,完美好看好看,2018-12-08 10:14:46
dmy0412,鞍山,4.5,不错值得一看,2018-12-08 10:14:31
1986美发工厂～阿東,沈阳,5.0,看的真爽，过瘾,2018-12-08 10:14:15
uyy264524901,上海,4.0,action porn，如果这就是dc最佳水平，凯文费奇安心了,2018-12-08 10:14:09
Bowie,广州,5.0,不错，很震撼,2018-12-08 10:14:03
Ham773552396,绍兴,5.0,巨好看，赞赞赞,2018-12-08 10:13:47
A0美食美客,邹城,3.5,不错不错，真的挺好的，看一看值得一张,2018-12-08 10:13:33
黄小黄柠檬奶,瑞安,5.0,指环王般的宏大军团战，阿凡达般的奇妙水世界。,2018-12-08 10:13:31
穿着拖鞋的猪,潮州,5.0,不错！！！！！！！！！！！！！,2018-12-08 10:13:06
哎呀（若天晴，一切都好说）,海口,4.5,很精彩，场景特别美,2018-12-08 10:13:03
三店张景川,丹阳,5.0,很不错哦秀秀,2018-12-08 10:12:49
蒙娜丽莎啊啊,沈阳,5.0,感官世界超级震撼！,2018-12-08 10:12:48
uHI34722785,海口,4.5,变成海王的迷妹了,2018-12-08 10:12:20
爱喵喵邈,蚌埠,5.0,值得一看电影,2018-12-08 10:12:19
